EmploymentSector,Survey Year,ManageStaff,Gender,SalaryUSD
Private business,2025,Yes,Male,160000.0
Private business,2025,Yes,Female,144500.0
Private business,2025,No,Male,136000.0
Private business,2025,No,Female,135500.0
Private business,2024,Yes,Male,161950.0
Private business,2024,Yes,Female,147000.0
Private business,2024,No,Male,130000.0
Private business,2024,No,Female,126256.5
Private business,2023,Yes,Male,150000.0
Private business,2023,Yes,Female,144000.0
Private business,2023,No,Male,125000.0
Private business,2023,No,Female,123000.0
Private business,2022,Yes,Male,140500.0
Private business,2022,Yes,Female,131000.0
Private business,2022,No,Male,118000.0
Private business,2022,No,Female,112000.0
Private business,2021,Yes,Male,128000.0
Private business,2021,Yes,Female,119000.0
Private business,2021,No,Male,105500.0
Private business,2021,No,Female,110000.0
Private business,2020,Yes,Male,128250.0
Private business,2020,Yes,Female,122000.0
Private business,2020,No,Male,105000.0
Private business,2020,No,Female,104000.0
Private business,2019,Yes,Male,116500.0
Private business,2019,Yes,Female,128750.0
Private business,2019,No,Male,103107.0
Private business,2019,No,Female,96000.0
Private business,2018,Yes,Male,120000.0
Private business,2018,Yes,Female,106000.0
Private business,2018,No,Male,104000.0
Private business,2018,No,Female,98000.0
